,choose_one,text_no_rt,user
1312,Informative (Direct or Indirect),Multiple #tornado reports in Tarrant County. Heading at D/FW airport. #txwx #severe, 
1313,Personal only,TORNADO WARNING. FUCKKKKK., 
1314,Personal only,Home safe but sans power. We'll make it! #okwx, 
1315,Personal only,please pray for the tornado victims.. PLEASE.., 
1316,Informative (Direct or Indirect),Why is #Joplin not trending? Praying for survivors to be found yet tonight...More bad weather on the way...:(, 
1317,Personal only,tornado watchh AHHH !!!!!!, 
1318,Personal only,Tornado watch in Kansas nd ima be in Kansas all shit, 
1319,Informative (Indirect),They just announced that 7 people are now confirmed to have been killed this afternoon in OKC tornado #tragic, 
1320,Personal only,With so many tornado devastations I wonder if FEMA is responding well.  #lessonsofKatrina, 
1321,Informative (Direct or Indirect),tornado warning for denton co., 
1322,Personal only,This tornado shit is outta hand!, 
1323,Personal only,I love how everyone at my school is freaking out over the tornado and I'm like--so anyone hungry? Haha(:, 
1324,Informative (Direct or Indirect),The SPC is handing over control to the Air Force.  Norman under Tornado Emergency., 
1325,Personal only,@May_digs_JK @tweetmejordan I've been through a tornado at 8 yrs old. Scary & don't wish this on anybody. Just take shelter when sirens go., 
1326,Informative (Direct),Possible tornado looking southwest from my house at 134th and Penn http://instagr.am/p/EreeJ/, 
1327,Personal only,Sooners be safe! #tornado.... What about osu cowboys!?, 
1328,Personal only,Fuck a tornado interrupting black ops, 
1329,Personal only,Tornado. Newfound Chesterton. Obedient hair. #fullday, 
1330,Personal only,Enough with the tornado warnings, 
1331,Personal only,)): @IAintYaBoyfrind is leaving me home alone . guess the tornado ell come swoop me !, 
1332,Personal only,Does anyone want to assist me on Saturday for the Tornado Relief event?, 
1333,Informative (Direct),@JacksonRathbone we are under tornado warning right now huddled in utility room...me son 2 lg dogs & 2 cats...cramped space, 
1334,Informative (Direct or Indirect),The house that Jerry built is under a tornado warning., 
1335,Informative (Indirect),#nationalwx: This afternoon's storms turn into tornado threat for #Joplin tonight! #Joplin under tornado warning right now!, 
1336,Informative (Direct or Indirect),So sad.. :(( RT @HalaGorani: RT @edlavacnn: Death toll in #Joplin #tornado is 124 1500 people still unaccounted for., 
1337,Informative (Direct or Indirect),Tornado outbreak in progress north and NW of Dallas. Everyone in the Metroplex needs to be listening to wx right now. #txwx, 
1338,Informative (Indirect),RT According to @koconews a man found a horse in his pool after the central Oklahoma tornades. He doesn't own a horse. #okwx, 
1339,Personal only,Why is this tornado watch interrupting @AmericanIdol?!?! Grrrr!!!, 
1340,Informative (Direct),O ok RT @cmakmoney: @kayovito no tornado jus strong winds...it was crazy out hea, 
1341,Personal only,@ludwick47 BOOOOOOO.... Lol Joplin called they said that joke blew harder than that tornado., 
1342,Personal only,This tornado shit is outta hand!, 
1343,Personal only,@stonermc I grew up with the threat of severe weather...nasty storms common here but not nearly the tornado threat as in other areas., 
1344,Personal only,Tornado!?!?  Ahh hell naww!, 
1345,Personal only,Aww man tornado warning. Damn man., 
1346,Personal only,looking at these images of the tornado damage. Reminds me of ANU back in 95, 
1347,Informative (Direct or Indirect),no more complaining about spring weather seeing what has happened to #Joplin and now OKC, 
1348,Personal only,Pray for everyone that got hit by tornado :(, 
1349,Personal only,@CandiceAA Lol I just don't want to die in a tornado alone. Some company would be nice. Lol I'm panick(ed)., 
1350,Personal only,#niceguy RT @StateStSports Just dropped off big bag of clothes to be used for the residents of the #Joplin tornadoes. Feel so bad..., 
1351,Informative (Direct or Indirect),Tornado warning#omg!Hmu!:/, 
1352,Personal only,My dad's been in @TIME  @NPR today because he lost his house in #Joplin. Who's next?, 
1353,Personal only,#OKWX in #tulsa 4 work at an undisclosed location lots of people bringing their families back to work. Good idea???, 
1354,Informative (Direct or Indirect),Eeeeee tornado warning., 
1355,Informative (Direct or Indirect),Not surprised they now rate the worst tornado in 60 years an EF5.  1500 people still missing., 
1356,Personal only,"Part of me thinks ""Does anyone give us money?"" When other people have tragedies we're writing checks & holding telethons ...", 
1357,Personal only,@Em_I_Am is there a pot running for whether gabriels first word will be thunderstorm or tornado? Lol..., 
1358,Personal only,Dear America: prayers. #Israel #jcot #tcot #tornado, 
1359,Informative (Indirect),Going live on #CNN - breaking news re multiple deaths in #Oklahoma as new tornado strikes PLUS incredible survival sto ..., 
1360,Personal only,Even though I'm by myself right now and there may be a tornado I know I'm not alone... #God., 
1361,Informative (Direct or Indirect),Ahhhh! Tornado warning ! D:, 
1362,Informative (Direct or Indirect),Storrms in Stillwater too? @LaurenPott: RT @JoyDonovan: Sooners be safe! #tornado.... What about osu cowboys!?, 
1363,Informative (Direct or Indirect),#tornado east of Avondale TX   damage to homes in Saginaw.   Rope near Frisco TX  #txwx, 
1364,Informative (Indirect),Hashtags to follow for weather updates:  Oklahoma - #okwx   Texas - #txwx  You get the idea., 
1365,Personal only,@Spunkied32 Planning a Tornado Chasing trip., 
1366,Informative (Direct or Indirect),Visible wall cloud for the cell just to the east of Shawnee OK.  #tornado #Oklahoma, 
1367,Personal only,Whew!!! RT @FunGuyDave: All clear. My family is safe. One tornado to the north and one to the south., 
1368,Informative (Direct or Indirect),Weather service issues #tornado watch for western Missouri extreme eastern Kansas http://on.cnn.com/k1ZN2b, 
1369,Informative (Indirect),"CNN says a """"Maxi"""" tornado hit Oklahoma. Is that worse than a tampon tornado? #Tornado #Oklahoma", 
1370,Personal only,@thegirlsluvJR yeah these tornado's aint no joke, 
1371,Informative (Direct or Indirect),First Baptist Church in Piedmont opening up as shelter...please help get word out! #okwx, 
1372,Personal only,Gonna #gymkhana my ass through this tornado(s), 
1373,Informative (Indirect),Well a Tornado is on the ground the news is saying. All North West of me. Damn stay away from me. Dude said softball sized hail. Got Damn., 
1374,Informative (Direct),Tornado blew through Stillwater Oklahoma a short while ago.  No damage at my place.  More storms on the way though...., 
1375,Informative (Direct or Indirect),tornado in Springtown, 
1376,Informative (Indirect),First person video of the Joplin tornado. This is frightening. http://youtu.be/cQnvxJZucds, 
1377,Informative (Indirect),Tracking a tornado through Twitter, 
1378,Personal only,please pray for the tornado victims.. PLEASE.., 
1379,Other,please pray for the tornado victims.. PLEASE.., 
1380,Informative (Indirect),KXII storm chaser Doug Drace confirms a large tornado on the ground 4-5 mi north of Ravia on Highway 1. Take precautions immediately., 
1381,Personal only,@perfectly_britt ok ms lady lol stay out the way of the tornado tho STL, 
1382,Informative (Direct or Indirect),Makes you wish you were back covering it huh? RT @codycrouch: Half mile wide tornado about to cross I-40 west of El Reno. #okwx, 
1383,Informative (Indirect),Just In: Storm Prediction Center issues tornado watch for western Missouri; extreme eastern Kansas until 3am CDT; includes city ..., 
1384,Informative (Direct or Indirect),@SophieSpeed3 Storm yes Tornado no..., 
1385,Personal only,I thought tornado season was over in Sau from pineapple express voice, 
1386,Other,Remediar com raiva o que poderia ter se tornado amor nÃƒÂŒÃ‚Â£o vai trazer de volta a calma nem apaziguar a dor., 
1387,Informative (Indirect),Moving photos from the tornado damage Sunday http://goo.gl/GQqfM, 
1388,Informative (Direct or Indirect),praying for  @gordonmattey & family as #Tornado makes it's way thru #Tulsa. #fb family of @FCCHB., 
1389,Informative (Indirect),Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b, 
1390,Personal only,please pray for the tornado victims.. PLEASE.., 
1391,Personal only,@Bran0206 chillin!  Watching this tornado damage....just finished off a 4Lokos...smh, 
1392,Personal only,another tornado... my god. &lt;---- :( :( :(, 
1393,Informative (Direct or Indirect),A tornado warning with golf ball size hail. This weather is ridiculous! #Texas, 
1394,Personal only,my heart goes out to the place not too far away from me #Joplin. you are in my prayers. &lt;3, 
1395,Informative (Indirect),You can help us respond in #Joplin &continue our work in other states. Txt REDCROSS to 90999 or online: http://bit.ly/eZJDoJ, 
1396,Informative (Direct or Indirect),A rotating wall cloud is 4 mi NW of Azle moving E at 40. No tornado has been observed at this time. -sm, 
1397,Informative (Direct or Indirect),A rotating wall cloud is 4 mi NW of Azle moving E at 40. No tornado has been observed at this time. -sm, 
1398,Informative (Direct or Indirect),The cell near Little #Oklahoma heading toward Okemah OK has really intensified! SEEK SHELTER IN OKEMAH OK! #OKWX, 
1399,Other,I wonder how @TomCoburn feels about @GOPLeader stance on tornado victims... #CantorIsAVileCreature, 
1400,Informative (Direct or Indirect),Damaging wind threat coming into Tulsa OK #tornado #okwx, 
1401,Personal only,Worst interviewer Eliot Spitzer. Mean spirited horrible questions needs to learn respect. Especially when talking with tornado victims, 
1402,Personal only,spent an hour in the interior room waiting for tornado to pass -- springtime in the Plains., 
1403,Personal only,please pray for the tornado victims.. PLEASE.., 
1404,Informative (Direct),El Reno and Richland took a hella beating by Mother Nature. #tornado, 
1405,Informative (Direct or Indirect),@lartist We're having a huge tornado outbreak in Oklahoma USA. Please RT that people can donate supplies money to @ ..., 
1406,Informative (Direct or Indirect),Tornado Warning for Mitchell County in KS until 8:15pm. #ksstorms #wibw, 
1407,Personal only,@scuba_steeve tornado Tuesday!, 
1408,Personal only,Tornado flash flood and severe thunderstorm. Good to be home., 
1409,Personal only,TimeWarner: Dont be stopping the game because of a Tornado warning. Just let me watch the game if a Tornado comes & Swo ..., 
1410,Informative (Direct),If you have lost/found a #pet in #JoplinTornado go to findmyanimal.com & register. They are offering service for FREE for ..., 
1411,Informative (Direct or Indirect),Supercell with possible tornado in DFW metroplex has made a major right-turn.  ALL of the area east of Arlington take ..., 
1412,Personal only,@poplifegirl Just emailed you about #Joplin!, 
1413,Personal only,I hate when my mom wants to watch the news for hrs because there a tornado coming like dang it's just some damn rain, 
1414,Informative (Indirect),Tornado Kills 89 in Missouri. http://t.co/3m1kAii, 
1415,Personal only,*PRAYS FOR ALL OF THE VICTIMS OF EARTHQUAKESTORNADO's & OTHER DISASTERS*, 
1416,Personal only,I was lucky here in #okc today. No #tornado here. Now I pray the #okcthunder stay safe in #Dallas, 
1417,Informative (Direct),TO SUM UP MY BLOGGER 481 tornado deaths this year http://bit.ly/lZIpzW, 
1418,Personal only,Tornado Watch... Creepy Thunder... and @ForestBraden goes outside to look at it!  HE IS INSANE!!!!, 
1419,Personal only,Might not need to worry abt a tornado the way @Sipes10 drives...., 
1420,Informative (Direct or Indirect),So there's a tornado warning in my county.  Um WHERE?  It's kind of a big county.  #listcitiesplease, 
1421,Informative (Direct or Indirect),tornado could be embedded in rain in Pawhuska... take cover now., 
1422,Personal only,Carrie & Em are ok -- house wasn't touched but lots of other damage around #tornado, 
1423,Personal only,Nothing like running from a tornado after getting back in the states.  http://t.co/4bXli0J, 
1424,Personal only,concern about the tornado in OKLAhhoma and.....Please God  please, 
1425,Informative (Direct or Indirect),Okmulgee OK tornado warning seek shelter immediately, 
1426,Informative (Direct or Indirect),Powerful tornado on the ground and pointed right towards my alma mater in OKC. Please pray and RT., 
1427,Informative (Direct),please pray for the tornado victims.. PLEASE.., 
1428,Personal only,ARE WE UNDER A TORNADO WATCH ?, 
1429,Informative (Direct or Indirect),Just In: Storm Prediction Center issues tornado watch for western Missouri; extreme eastern Kansas until 3am CDT; includes city ..., 
1430,Personal only,Gotta love tornado season....#sarcasm, 
1431,Personal only,Watching CNN's tornado coverage. Praying for my friend @a1extran., 
1432,Informative (Direct or Indirect),@SuckitMarion the purported tornado that made of stand in an enclosed space with wal-mart shoppers, 
